"ProductName","SKU","Category","ItemType","TrackSerials","SerialPrefix","SerialNextNumber","SerialSuffix","Description","DefaultUnitPrice","Markup","IsFixedMarkup","IsTaxInclusivePrice","DKK","Cost","SpecialTaxRate","LastVendor","VendorProductCode","VendorPrice","BarCode","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","Gamesa PartNo.:","Other PartNo.:","HS-Code:","COO:","Leedtime (Weeks):","IsActive"
"Rubbercable H07RN-F SUPER 90 4G1,5 R100","VM240001","New","Non-Stocked","False","","","","","2,36","17,60000","True","False","17,58","14,95000","","Lemvig Müller","8032771067274","14,95000","VM240001","Meters","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"SKIIP3 1813 GB123+WATER COOLIN Ren","VM240002","Ren","Non-Stocked","False","","","","","2408,68","17,60000","True","False","17962,46","15274,20000","","","","","VM240002","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"PROPORTIONAL VALVE 4WREE 10R75 Ren","VM240003","Ren","Non-Stocked","False","","","","","1482,95","17,60000","True","False","11058,99","9403,90000","","","","","VM240003","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"Cable Height Meter Elma Suparule 600E","VM240004","New","Non-Stocked","False","","","","","1323,86","17,60000","True","False","9872,52","8395,00000","","","","","VM240004","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"HYDRAULIC OIL MOBIL SHC 526 208L DRUM","VM240005","New","Non-Stocked","False","","","","","9,32","17,60000","True","False","69,53","59,12000","","","","","VM240005","Liters","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"CABLE SLIP RING GB17WAYS REV B","VM240006","New","Non-Stocked","False","","","","","1133,29","17,60000","True","False","8451,42","7186,58000","","","","","VM240006","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"BRAKE PADS, SBS C-023","VM240007","New","Non-Stocked","False","","","","60100201","138,19","17,60000","True","False","1030,52","876,29000","","","","","VM240007","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","60100201","","","","True"
"Wind Sensor Digital RS485 Flat Front","VM240008","New","Non-Stocked","False","","","","","2777,82","17,60000","True","False","20715,33","17615,08000","","FT Technologies","FT702LT-V22-FF","2024,00000","VM240008","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"MOTOR EL. 4AP112M-6S-B5-4/6 2","VM240009","New","Non-Stocked","False","","","","","1028,61","17,60000","True","False","7670,77","6522,76000","","","","","VM240009","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"MOTOR EL. 4AP112M-6S-B5-4/6 2 Ren","VM240010","Ren","Non-Stocked","False","","","","","653,61","17,60000","True","False","4874,23","4144,75000","","","","","VM240010","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
